ID;FarmID;Flockseq;ColUse;SamplingPoint;ColR
1032;75-103;2;1;Start;12.1
0801;75-080;1;1;Start;0
1041;75-104;1;1;Start;23.9
0571;75-057;1;1;Start;92.4
0902;75-090;2;1;Start;24
0631;75-063;1;1;Start;0
0762;75-076;2;1;Start;18.2
0901;75-090;1;1;Start;10.6
0771;75-077;1;1;Start;16.8
1031;75-103;1;1;Start;0
0951;75-095;1;0;Start;0
0294;75-029;4;0;Start;80.5
0133;75-013;3;0;Start;46.1
0461;75-046;1;0;Start;0
0651;75-065;1;0;Start;0
0464;75-046;4;0;Start;0
0721;75-072;1;0;Start;18.6
0661;75-066;1;0;Start;0
0461;75-046;1;0;Start;0
0321;75-032;1;0;Start;0
0463;75-046;3;0;Start;0
0441;75-044;1;0;Start;0
0581;75-058;1;0;Start;0
0720;75-072;0;0;Start;5.5
0031;75-003;1;0;Start;0
0082;75-008;2;0;Start;0
0142;75-014;2;0;Start;1.7
0961;75-096;1;0;Start;40
0402;75-040;2;0;Start;0
0302;75-030;2;0;Start;0
